map,n_territories,bucket,K5,K10
ring_6,6,small (6-12),100.0,100.0
simple_6,6,small (6-12),53.3,53.3
triangle_6,6,small (6-12),33.3,46.7
double_hub_8,8,small (6-12),66.7,73.3
medium_8,8,small (6-12),100.0,93.3
star_8,8,small (6-12),100.0,93.3
hex_grid_10,10,small (6-12),73.3,66.7
large_10,10,small (6-12),100.0,80.0
dense_12,12,small (6-12),86.7,53.3
dense_mesh_16,16,medium (16-22),93.3,53.3
hub_spoke_16,16,medium (16-22),100.0,100.0
hex_grid_18,18,medium (16-22),73.3,26.7
ring_cross_18,18,medium (16-22),93.3,66.7
bipartite_20,20,medium (16-22),80.0,40.0
corridor_20,20,medium (16-22),86.7,0.0
dual_hub_20,20,medium (16-22),93.3,66.7
grid_20,20,medium (16-22),80.0,46.7
corridor_22,22,medium (16-22),80.0,0.0
corridor_28,28,large (28-30),53.3,0.0
grid_30,30,large (28-30),66.7,20.0
hub_ring_30,30,large (28-30),66.7,13.3
MEAN_small (6-12),,small (6-12),79.3,73.3
MEAN_medium (16-22),,medium (16-22),86.7,44.4
MEAN_large (28-30),,large (28-30),62.2,11.1
