map,n_territories,bucket,K5,K10
ring_6,6,small (6-12),100.0,6.7
simple_6,6,small (6-12),26.7,20.0
triangle_6,6,small (6-12),6.7,46.7
double_hub_8,8,small (6-12),53.3,6.7
medium_8,8,small (6-12),100.0,6.7
star_8,8,small (6-12),100.0,13.3
hex_grid_10,10,small (6-12),53.3,0.0
large_10,10,small (6-12),100.0,20.0
dense_12,12,small (6-12),60.0,6.7
dense_mesh_16,16,medium (16-22),60.0,6.7
hub_spoke_16,16,medium (16-22),100.0,6.7
hex_grid_18,18,medium (16-22),46.7,0.0
ring_cross_18,18,medium (16-22),53.3,0.0
bipartite_20,20,medium (16-22),26.7,0.0
corridor_20,20,medium (16-22),0.0,0.0
dual_hub_20,20,medium (16-22),73.3,6.7
grid_20,20,medium (16-22),60.0,6.7
corridor_22,22,medium (16-22),20.0,0.0
corridor_28,28,large (28-30),0.0,0.0
grid_30,30,large (28-30),6.7,0.0
hub_ring_30,30,large (28-30),0.0,0.0
MEAN_small (6-12),,small (6-12),66.7,14.1
MEAN_medium (16-22),,medium (16-22),48.9,3.0
MEAN_large (28-30),,large (28-30),2.2,0.0
