======================================================================
Training for 200 iterations
Checkpoints will be saved to: checkpoints\gnn_validation
This will take approximately 30-60 minutes...

Starting training for 200 iterations...
Device: cpu
Map: simple_6
Policy: GCN (128x3)

Iteration 1/200 | Reward: 1.301 | Length: 41.0 | Episodes: 48
Iteration 2/200 | Reward: 1.353 | Length: 37.6 | Episodes: 98
Iteration 3/200 | Reward: 1.376 | Length: 48.5 | Episodes: 143
Iteration 4/200 | Reward: 1.380 | Length: 39.4 | Episodes: 190
Iteration 5/200 | Reward: 1.461 | Length: 46.5 | Episodes: 235
Iteration 6/200 | Reward: 1.298 | Length: 47.3 | Episodes: 282
Iteration 7/200 | Reward: 1.433 | Length: 49.3 | Episodes: 327
Iteration 8/200 | Reward: 1.424 | Length: 45.3 | Episodes: 372
Iteration 9/200 | Reward: 1.442 | Length: 45.6 | Episodes: 417
Iteration 10/200 | Reward: 1.138 | Length: 46.9 | Episodes: 461
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000010.pt
Iteration 11/200 | Reward: 1.279 | Length: 47.4 | Episodes: 504
Iteration 12/200 | Reward: 1.372 | Length: 49.6 | Episodes: 547
Iteration 13/200 | Reward: 1.198 | Length: 50.0 | Episodes: 588
Iteration 14/200 | Reward: 1.346 | Length: 42.7 | Episodes: 632
Iteration 15/200 | Reward: 1.107 | Length: 50.0 | Episodes: 673
Iteration 16/200 | Reward: 1.060 | Length: 47.0 | Episodes: 718
Iteration 17/200 | Reward: 1.242 | Length: 39.9 | Episodes: 763
Iteration 18/200 | Reward: 1.246 | Length: 45.3 | Episodes: 809
Iteration 19/200 | Reward: 1.217 | Length: 45.6 | Episodes: 854
Iteration 20/200 | Reward: 1.278 | Length: 48.9 | Episodes: 897
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000020.pt
Iteration 21/200 | Reward: 1.207 | Length: 38.4 | Episodes: 941
Iteration 22/200 | Reward: 1.258 | Length: 47.0 | Episodes: 983
Iteration 23/200 | Reward: 1.196 | Length: 48.5 | Episodes: 1025
Iteration 24/200 | Reward: 1.378 | Length: 49.8 | Episodes: 1067
Iteration 25/200 | Reward: 1.362 | Length: 46.0 | Episodes: 1109
Iteration 26/200 | Reward: 1.342 | Length: 46.1 | Episodes: 1152
Iteration 27/200 | Reward: 1.156 | Length: 47.4 | Episodes: 1195
Iteration 28/200 | Reward: 1.481 | Length: 47.4 | Episodes: 1236
Iteration 29/200 | Reward: 1.384 | Length: 50.0 | Episodes: 1278
Iteration 30/200 | Reward: 1.425 | Length: 49.3 | Episodes: 1319
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000030.pt
Iteration 31/200 | Reward: 1.256 | Length: 46.5 | Episodes: 1363
Iteration 32/200 | Reward: 1.289 | Length: 48.8 | Episodes: 1404
Iteration 33/200 | Reward: 1.384 | Length: 45.1 | Episodes: 1447
Iteration 34/200 | Reward: 1.475 | Length: 50.0 | Episodes: 1489
Iteration 35/200 | Reward: 1.345 | Length: 49.5 | Episodes: 1531
Iteration 36/200 | Reward: 1.299 | Length: 50.0 | Episodes: 1572
Iteration 37/200 | Reward: 1.188 | Length: 47.0 | Episodes: 1615
Iteration 38/200 | Reward: 1.353 | Length: 44.6 | Episodes: 1658
Iteration 39/200 | Reward: 1.346 | Length: 46.0 | Episodes: 1700
Iteration 40/200 | Reward: 1.225 | Length: 49.3 | Episodes: 1742
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000040.pt
Iteration 41/200 | Reward: 1.245 | Length: 49.6 | Episodes: 1783
Iteration 42/200 | Reward: 1.418 | Length: 49.2 | Episodes: 1824
Iteration 43/200 | Reward: 1.350 | Length: 50.0 | Episodes: 1864
Iteration 44/200 | Reward: 1.327 | Length: 50.0 | Episodes: 1904
Iteration 45/200 | Reward: 1.269 | Length: 50.0 | Episodes: 1944
Iteration 46/200 | Reward: 1.338 | Length: 48.2 | Episodes: 1985
Iteration 47/200 | Reward: 1.432 | Length: 50.0 | Episodes: 2026
Iteration 48/200 | Reward: 1.441 | Length: 41.5 | Episodes: 2068
Iteration 49/200 | Reward: 1.256 | Length: 45.8 | Episodes: 2110
Iteration 50/200 | Reward: 1.379 | Length: 50.0 | Episodes: 2151
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000050.pt
Iteration 51/200 | Reward: 1.354 | Length: 50.0 | Episodes: 2193
Iteration 52/200 | Reward: 1.347 | Length: 49.8 | Episodes: 2234
Iteration 53/200 | Reward: 1.211 | Length: 48.7 | Episodes: 2277
Iteration 54/200 | Reward: 1.512 | Length: 50.0 | Episodes: 2319
Iteration 55/200 | Reward: 1.384 | Length: 48.1 | Episodes: 2361
Iteration 56/200 | Reward: 1.495 | Length: 50.0 | Episodes: 2403
